Time,Load,TotalPower,Diesel,Solar,Wind,RemainingPower,V2G
0.240146251,1.136102972,0.795232612,-0.38946883,-0.001327192,1.186028634,-0.34087036,1.41621E-06
0.241967875,1.137205146,0.841742982,-0.344436786,-0.001303096,1.187482864,-0.295462164,1.41426E-06
0.243789499,1.138599265,0.930265989,-0.257824282,-0.001268172,1.189358443,-0.208333276,1.41337E-06
0.245611123,1.140478107,1.032751082,-0.157753619,-0.001233439,1.19173814,-0.107727024,1.41381E-06
0.247432747,1.142866161,1.117171894,-0.076149266,-0.001209715,1.194530876,-0.025694267,1.41539E-06
0.24925437,1.145614155,1.15776674,-0.038532201,-0.001204177,1.197503118,0.012152585,1.4176E-06
0.251075994,1.148449005,1.143124475,-0.056012695,-0.001218116,1.200355286,-0.00532453,1.41971E-06
0.252897618,1.151062606,1.079579202,-0.121992451,-0.001246606,1.20281826,-0.071483404,1.42104E-06
0.255147215,1.153633485,0.967679634,-0.236145394,-0.001287315,1.205112343,-0.185953851,1.42104E-06
0.257396812,1.155359512,0.870504483,-0.334833965,-0.001315748,1.206654196,-0.284855029,1.41929E-06
0.259646409,1.156466593,0.834943871,-0.371564839,-0.001318306,1.207827017,-0.321522722,1.41664E-06
0.261896005,1.157445155,0.877980493,-0.329882782,-0.001293773,1.209157048,-0.279464662,1.41435E-06
0.264145602,1.158815721,0.979300876,-0.230509408,-0.001253709,1.211063993,-0.179514845,1.41348E-06
0.266395199,1.160883606,1.091607408,-0.120841279,-0.001216797,1.213665484,-0.069276198,1.4144E-06
0.268644796,1.163599131,1.163413938,-0.052113334,-0.001199915,1.216727186,-0.000185194,1.41663E-06
0.270894392,1.166587488,1.163351083,-0.055218374,-0.001210216,1.219779673,-0.003236405,1.41908E-06
0.272018858,1.168025461,1.135581044,-0.084343944,-0.001224378,1.221149366,-0.032444417,1.42003E-06
0.272018858,1.168025461,1.135581044,-0.084343944,-0.001224378,1.221149366,-0.032444417,1.42003E-06
0.274268454,1.17047442,1.043953491,-0.178133676,-0.0012613,1.223348467,-0.12652093,1.42076E-06
0.276518051,1.172162478,0.944015343,-0.279481889,-0.00129442,1.224791652,-0.228147135,1.41979E-06
0.278767648,1.173154203,0.884589348,-0.33982241,-0.001307741,1.225719498,-0.288564856,1.4176E-06
0.281017245,1.173822309,0.894461366,-0.330834979,-0.001294867,1.226591211,-0.279360943,1.41525E-06
0.283266841,1.174667047,0.969248351,-0.257354649,-0.001261853,1.227864853,-0.205418695,1.41383E-06
0.285516438,1.17607876,1.074134697,-0.15442317,-0.001224132,1.229781999,-0.101944063,1.41399E-06
0.287766035,1.178156355,1.160867862,-0.070191192,-0.001199086,1.23225814,-0.017288494,1.41563E-06
0.290015632,1.18066619,1.19073141,-0.042999377,-0.001197819,1.234928606,0.01006522,1.41793E-06
0.292265228,1.183158361,1.152566005,-0.083539668,-0.001220038,1.237325711,-0.030592356,1.4198E-06
0.294514825,1.185182876,1.067457587,-0.170389367,-0.001254391,1.239101345,-0.117725289,1.42036E-06
0.296764422,1.186502024,0.97815782,-0.260747421,-0.001284015,1.240189256,-0.208344203,1.41939E-06
0.299014018,1.187198863,0.928528461,-0.311008508,-0.001294578,1.240831548,-0.258670401,1.41735E-06
0.301263615,1.187632618,0.942885218,-0.297293215,-0.001280985,1.241459418,-0.244747399,1.41524E-06
0.303513212,1.188264864,1.014958338,-0.226279079,-0.001249607,1.242487024,-0.173306526,1.41405E-06
0.305762809,1.189440711,1.111464984,-0.131437076,-0.001215079,1.244117138,-0.077975727,1.41431E-06
0.308012405,1.19122876,1.188316261,-0.056740331,-0.001193258,1.24624985,-0.002912499,1.41588E-06
0.310262002,1.193394096,1.211579442,-0.035762248,-0.001193729,1.248535418,0.018185346,1.41799E-06
0.312511599,1.195514702,1.173235835,-0.076092598,-0.001215407,1.25054384,-0.022278867,1.41964E-06
0.314761196,1.197183906,1.094423902,-0.156298011,-0.001247239,1.251969152,-0.102760004,1.42006E-06
0.317010792,1.198201903,1.014896876,-0.236601077,-0.001273598,1.252771551,-0.183305027,1.41908E-06
0.319260389,1.198666287,0.973938954,-0.277970825,-0.001281722,1.253191501,-0.224727332,1.4172E-06
